x;y
673;284.590526
674;284.854093
675;285.116804
676;285.379134
677;285.642545
678;285.905327
679;286.165056
680;286.424685
681;286.684886
682;286.942264
683;287.195880
684;287.448122
685;287.700605
686;287.952810
687;288.202815
688;288.451092
689;288.698177
690;288.945250
691;289.190107
692;289.433922
693;289.676640
694;289.917519
695;290.155613
696;290.392616
697;290.629751
698;290.866178
699;291.100391
700;291.334171
701;291.567930
702;291.799939
703;292.029972
704;292.258731
705;292.487868
706;292.714864
707;292.939866
708;293.164398
709;293.388104
710;293.609748
711;293.828852
712;294.046251
713;294.262624
714;294.476922
715;294.688972
716;294.901908
717;295.115755
718;295.327904
719;295.538261
720;295.749028
721;295.959078
722;296.166126
723;296.370619
724;296.574859
725;296.778512
726;296.980386
727;297.181840
728;297.384221
729;297.586336
730;297.785210
731;297.981559
732;298.176613
733;298.370225
734;298.562331
735;298.755046
736;298.949530
737;299.144791
738;299.337478
739;299.529998
740;299.723315
741;299.914163
742;300.099376
743;300.282858
744;300.467762
745;300.653278
746;300.838755
747;301.024974
748;301.213004
749;301.399966
750;301.584454
751;301.766893
752;301.946423
753;302.125173
754;302.303372
755;302.482949
756;302.664788
757;302.847331
